Statement_Period,Transaction_Month,Service,Country,Label,Artist,Release_Title,Track_Title,UPC,ISRC,Release Catalog_ID,Track_Catalog_ID,Channel,Format,Quantity,Gross_Revenue_in_USD,Mechanical_Royalties_Deducted,Contract_ID,Contract_Rate_%,Net_Revenue_in_USD,Your_Share_%,Amount_Due_in_USD,Statement_Total_in_USD,Opening_Balance_in_USD,Closing_Balance_in_USD
2017-10,2017-07,Spotify,United Kingdom,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,Ether,1.82785E+12,QZ22B1803869,,,Ad-Supported Streaming,Track ,1,0.001469,0,134546,85,0.00124865,100,0.00124865,4.8025272,8.54,13.3425272
2017-10,2017-07,Spotify,United Kingdom,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,I Need You,1.82785E+12,QZ22B1803868,,,Ad-Supported Streaming,Track ,1,0.001469,0,134546,85,0.00124865,100,0.00124865,,,
2017-10,2017-07,Spotify,United Kingdom,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,Winterfell,1.82785E+12,QZ22B1803149,,,Ad-Supported Streaming,Track ,1,0.001469,0,134546,85,0.00124865,100,0.00124865,,,
2017-10,2017-07,Spotify,United Kingdom,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,Kingdom Come,1.82785E+12,QZ22B1803866,,,Ad-Supported Streaming,Track ,1,0.001469,0,134546,85,0.00124865,100,0.00124865,,,
2017-10,2017-07,Spotify,United Kingdom,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,Palisades,1.82785E+12,QZ22B1803867,,,Ad-Supported Streaming,Track ,1,0.001469,0,134546,85,0.00124865,100,0.00124865,,,
2017-10,2017-07,Spotify,United States,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,Palisades,1.82785E+12,QZ22B1803867,,,Ad-Supported Streaming,Track ,2,0.00471,0,134546,85,0.0040035,100,0.0040035,,,
2017-10,2017-07,Spotify,United States,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,I Need You,1.82785E+12,QZ22B1803868,,,Ad-Supported Streaming,Track ,1,0.002355,0,134546,85,0.00200175,100,0.00200175,,,
2017-10,2017-07,Spotify,United States,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,Kingdom Come,1.82785E+12,QZ22B1803866,,,Ad-Supported Streaming,Track ,3,0.007066,0,134546,85,0.0060061,100,0.0060061,,,
2017-10,2017-07,Spotify,United States,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,Winterfell,1.82785E+12,QZ22B1803149,,,Ad-Supported Streaming,Track ,2,0.00471,0,134546,85,0.0040035,100,0.0040035,,,
2017-10,2017-07,Spotify,United States,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,Ether,1.82785E+12,QZ22B1803869,,,Ad-Supported Streaming,Track ,1,0.002355,0,134546,85,0.00200175,100,0.00200175,,,
2017-10,2017-07,Spotify,Australia,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,Kingdom Come,1.82785E+12,QZ22B1803866,,,Ad-Supported Streaming,Track ,1,0.002056,0,134546,85,0.0017476,100,0.0017476,,,
2017-10,2017-07,Spotify,Sweden,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,Winterfell,1.82785E+12,QZ22B1803149,,,Ad-Supported Streaming,Track ,1,0.000867,0,134546,85,0.00073695,100,0.00073695,,,
2017-10,2017-07,Spotify,Sweden,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,Kingdom Come,1.82785E+12,QZ22B1803866,,,Ad-Supported Streaming,Track ,1,0.000867,0,134546,85,0.00073695,100,0.00073695,,,
2017-10,2017-07,Spotify,Austria,Gurudutt Perichetla,Gurudutt Perichetla,Kingdom Come,I Need You,1.82785E+12,QZ22B1803868,,,Ad-Supported Streaming,Track ,1,0.00065,0,134546,85,0.0005525,100,0.0005525,,,
2017-10,2017-07,Spotify,United Kingdom,Gurudutt Perichetla,Gurudutt Perichetla,Momentum,Kill Your Friends,1.82785E+12,QZ22B1803870,,,Ad-Supported Streaming,Track ,9,0.013217,0,134546,85,0.01123445,100,0.01123445,,,
